paper,claim_id,claim_type,markdown_line_start,markdown_line_end,pdf_page,enclosing_section,claim_or_review_unit,review_owner,disposition
Intelligence,I-CLM-0065,candidate_commitment,653,658,28,"I-04 — Human Intelligence is a manifestation, not the universal template","I-04 — Human Intelligence is a manifestation, not the universal template",Stream C,unreviewed
Intelligence,I-CLM-0066,candidate_commitment,659,664,28,I-05 — Origin confers neither capability nor privilege,I-05 — Origin confers neither capability nor privilege,Stream C,unreviewed
Intelligence,I-CLM-0067,candidate_commitment,665,670,28,"I-06 — Performance is evidence of Intelligence, not its identity","I-06 — Performance is evidence of Intelligence, not its identity",Stream C,unreviewed
Intelligence,I-CLM-0068,candidate_commitment,671,676,28,"I-07 — Intelligence is scoped, graded, and profiled","I-07 — Intelligence is scoped, graded, and profiled",Stream C,unreviewed
Intelligence,I-CLM-0069,candidate_commitment,677,682,29,I-08 — Plural manifestations do not imply isolated essences,I-08 — Plural manifestations do not imply isolated essences,Stream C,unreviewed
Intelligence,I-CLM-0070,candidate_commitment,683,688,29,I-09 — Knowledge and Intelligence are distinct but reciprocal,I-09 — Knowledge and Intelligence are distinct but reciprocal,Stream C,unreviewed
Intelligence,I-CLM-0071,candidate_commitment,689,694,29,"I-10 — Intelligence does not entail rationality, consciousness, wisdom, or moral worth","I-10 — Intelligence does not entail rationality, consciousness, wisdom, or moral worth",Stream C,unreviewed
Intelligence,I-CLM-0072,candidate_commitment,695,700,29,I-11 — Collective Intelligence requires more than aggregation,I-11 — Collective Intelligence requires more than aggregation,Stream C,unreviewed
Intelligence,I-CLM-0073,candidate_commitment,701,708,30,I-12 — Intelligence attribution must remain challengeable,I-12 — Intelligence attribution must remain challengeable,Stream C,unreviewed
Intelligence,I-CLM-0074,section_claim_cluster,709,761,30,11. Implications for cooperation among Intelligences,11. Implications for cooperation among Intelligences,Stream C,unreviewed
Intelligence,I-CLM-0075,section_claim_cluster,711,726,30,"11.1 Difference is a resource, not merely a deficit","11.1 Difference is a resource, not merely a deficit",Stream C,unreviewed
Intelligence,I-CLM-0076,section_claim_cluster,727,739,31,11.2 Capability does not determine authority,11.2 Capability does not determine authority,Stream C,unreviewed
Intelligence,I-CLM-0077,section_claim_cluster,740,753,31,11.3 Cooperation may create a new Intelligence level,11.3 Cooperation may create a new Intelligence level,Stream C,unreviewed
Intelligence,I-CLM-0078,section_claim_cluster,754,761,32,11.4 Cooperation requires translation across manifestations,11.4 Cooperation requires translation across manifestations,Stream C,unreviewed
Intelligence,I-CLM-0079,development_requirement,762,833,32,12. Development requirements derived from the foundation,12. Development requirements derived from the foundation,Stream C,unreviewed
Intelligence,I-CLM-0080,development_requirement,764,774,32,12.1 Represent the levels explicitly,12.1 Represent the levels explicitly,Stream C,unreviewed
Intelligence,I-CLM-0081,development_requirement,775,778,32,12.2 Use profiles before scores,12.2 Use profiles before scores,Stream C,unreviewed
Intelligence,I-CLM-0082,development_requirement,779,789,32,12.3 Make scope and novelty first-class,12.3 Make scope and novelty first-class,Stream C,unreviewed
Intelligence,I-CLM-0083,development_requirement,790,800,33,12.4 Disclose priors and resources,12.4 Disclose priors and resources,Stream C,unreviewed
Intelligence,I-CLM-0084,development_requirement,801,804,33,12.5 Preserve developmental history,12.5 Preserve developmental history,Stream C,unreviewed
Intelligence,I-CLM-0085,development_requirement,805,808,33,"12.6 Support individual, collective, distributed, and hybrid bearers","12.6 Support individual, collective, distributed, and hybrid bearers",Stream C,unreviewed
Intelligence,I-CLM-0086,development_requirement,809,819,33,12.7 Record causal and counterfactual evidence,12.7 Record causal and counterfactual evidence,Stream C,unreviewed
Intelligence,I-CLM-0087,development_requirement,820,823,34,12.8 Prevent anthropomorphic leakage,12.8 Prevent anthropomorphic leakage,Stream C,unreviewed
Intelligence,I-CLM-0088,development_requirement,824,827,34,12.9 Separate attribution from authorization,12.9 Separate attribution from authorization,Stream C,unreviewed
Intelligence,I-CLM-0089,development_requirement,828,833,34,12.10 Preserve challenge and revision,12.10 Preserve challenge and revision,Stream C,unreviewed
Intelligence,I-CLM-0090,open_question,834,885,34,13. Open foundational questions,13. Open foundational questions,Stream C,unreviewed
Intelligence,I-CLM-0091,open_question,836,839,34,13.1 What is the minimum condition for Intelligence?,13.1 What is the minimum condition for Intelligence?,Stream C,unreviewed
Intelligence,I-CLM-0092,open_question,840,843,34,13.2 Is learning necessary?,13.2 Is learning necessary?,Stream C,unreviewed
Intelligence,I-CLM-0093,open_question,844,847,35,13.3 Must an Intelligence have objectives?,13.3 Must an Intelligence have objectives?,Stream C,unreviewed
Intelligence,I-CLM-0094,open_question,848,851,35,13.4 How is the bearer bounded?,13.4 How is the bearer bounded?,Stream C,unreviewed
Intelligence,I-CLM-0095,open_question,852,855,35,13.5 Can a social system literally be intelligent?,13.5 Can a social system literally be intelligent?,Stream C,unreviewed
Intelligence,I-CLM-0096,open_question,856,859,35,13.6 How much novelty is required?,13.6 How much novelty is required?,Stream C,unreviewed
Intelligence,I-CLM-0097,open_question,860,863,35,13.7 Can capability equivalence survive different mechanisms?,13.7 Can capability equivalence survive different mechanisms?,Stream C,unreviewed
Intelligence,I-CLM-0098,open_question,864,867,35,13.8 What is the relation between Intelligence and understanding?,13.8 What is the relation between Intelligence and understanding?,Stream C,unreviewed
Intelligence,I-CLM-0099,open_question,868,871,36,13.9 What is the relation between Intelligence and consciousness?,13.9 What is the relation between Intelligence and consciousness?,Stream C,unreviewed
Intelligence,I-CLM-0100,open_question,872,875,36,13.10 Can a hybrid system become a persistent participant?,13.10 Can a hybrid system become a persistent participant?,Stream C,unreviewed
Intelligence,I-CLM-0101,open_question,876,879,36,13.11 How should Intelligence claims age?,13.11 How should Intelligence claims age?,Stream C,unreviewed
Intelligence,I-CLM-0102,open_question,880,885,36,13.12 What are the irreducible SymK primitives?,13.12 What are the irreducible SymK primitives?,Stream C,unreviewed
Intelligence,I-CLM-0103,evaluation_gate_cluster,886,911,36,14. A practical Intelligence attribution gate,14. A practical Intelligence attribution gate,Stream C,unreviewed
Intelligence,I-CLM-0104,section_claim_cluster,912,943,38,15. Conclusion,15. Conclusion,Stream C,unreviewed
Intelligence,I-CLM-0105,central_blockquote_claim,24,24,2,Abstract,"Intelligence is a substrate-realized capacity of an organized system. Its manifestations are plural; its attribution is scoped, evidence-bearing, and revisable.",Stream C,unreviewed
Intelligence,I-CLM-0106,central_blockquote_claim,72,72,4,"2. The Copernican correction: Human Intelligence is an instance, not the center",Human Intelligence is a manifestation of Intelligence. Intelligence is not defined as resemblance to a human being.,Stream C,unreviewed
Intelligence,I-CLM-0107,central_blockquote_claim,223,223,10,4. Substrate independence without substrate indifference,"The universal concept of Intelligence does not contain biological, electronic, or social material as a necessary definitional condition.",Stream C,unreviewed
Intelligence,I-CLM-0108,central_blockquote_claim,505,505,23,8. A working definition for SymK,"Intelligence, in SymK, is the substrate-realized capacity of an organized system—individual, collective, or hybrid—to produce context-sensitive interpretation or effective action across a relevant range of situations by integrating available structure, information, experience, and Knowledge, with some capacity to adapt when circumstances depart from prior cases.",Stream C,unreviewed
Intelligence,I-CLM-0109,central_blockquote_claim,541,541,24,8.1 Operational corollary,"SymK represents an Intelligence attribution as a governed, revisable claim about an identified system's capability profile, realization, scope, evidence, priors, resources, developmental history, limits, and role in cooperation.",Stream C,unreviewed
Intelligence,I-CLM-0110,central_blockquote_claim,547,547,25,8.2 The non-privilege corollary,"Participant type determines neither Intelligence in advance nor epistemic privilege. Human, Artificial, Social, and Hybrid Intelligences must be characterized by evidence without being forced into one manifestation profile.",Stream C,unreviewed
Intelligence,I-CLM-0111,central_blockquote_claim,553,553,25,8.3 Interpreting the SymK motto,"Knowledge is the shared medium. Cooperation is the objective. Intelligences are the diverse capacities through which the medium is created, challenged, interpreted, and applied.",Stream C,unreviewed
Intelligence,I-CLM-0112,central_blockquote_claim,928,928,38,15. Conclusion,Substrate-independent in concept; substrate-sensitive in realization.,Stream C,unreviewed
Intelligence,I-CLM-0113,central_blockquote_claim,932,932,23,15. Conclusion,"Intelligence, in SymK, is the substrate-realized capacity of an organized system—individual, collective, or hybrid—to produce context-sensitive interpretation or effective action across a relevant range of situations by integrating available structure, information, experience, and Knowledge, with some capacity to adapt when circumstances depart from prior cases.",Stream C,unreviewed
Intelligence,I-CLM-0114,central_blockquote_claim,936,936,24,15. Conclusion,"SymK represents an Intelligence attribution as a governed, revisable claim about an identified system's capability profile, realization, scope, evidence, priors, resources, developmental history, limits, and role in cooperation.",Stream C,unreviewed
Intelligence,I-CLM-0115,central_blockquote_claim,940,940,25,15. Conclusion,"Knowledge is the shared medium. Cooperation is the objective. Intelligences are the diverse capacities through which the medium is created, challenged, interpreted, and applied.",Stream C,unreviewed
Intelligence,I-CLM-0116,explicit_numbered_claim_or_requirement,50,50,3,1. Why Intelligence is foundational to SymK,Human resemblance may become an undeclared criterion for every other Intelligence.,Stream C,unreviewed
Intelligence,I-CLM-0117,explicit_numbered_claim_or_requirement,51,51,3,1. Why Intelligence is foundational to SymK,A supporting substrate may be mistaken for the capacity it enables.,Stream C,unreviewed
Intelligence,I-CLM-0118,explicit_numbered_claim_or_requirement,52,52,3,1. Why Intelligence is foundational to SymK,A successful performance may be mistaken for a stable capability.,Stream C,unreviewed
Intelligence,I-CLM-0119,explicit_numbered_claim_or_requirement,53,53,3,1. Why Intelligence is foundational to SymK,A test score may be mistaken for the whole of Intelligence.,Stream C,unreviewed
Intelligence,I-CLM-0120,explicit_numbered_claim_or_requirement,54,54,3,1. Why Intelligence is foundational to SymK,Knowledge already accumulated may be mistaken for the capacity that acquired or used it.,Stream C,unreviewed
Intelligence,I-CLM-0121,explicit_numbered_claim_or_requirement,55,55,3,1. Why Intelligence is foundational to SymK,"Rationality, agency, autonomy, consciousness, wisdom, and moral status may be collapsed into one label.",Stream C,unreviewed
Intelligence,I-CLM-0122,explicit_numbered_claim_or_requirement,56,56,3,1. Why Intelligence is foundational to SymK,A collection of participants may be called intelligent without identifying the organization that produces a system-level capacity.,Stream C,unreviewed
Intelligence,I-CLM-0123,explicit_numbered_claim_or_requirement,57,57,4,1. Why Intelligence is foundational to SymK,Artificial or Social Intelligence may be granted or denied standing because of origin rather than evidence.,Stream C,unreviewed
Intelligence,I-CLM-0124,explicit_numbered_claim_or_requirement,58,58,4,1. Why Intelligence is foundational to SymK,Domain-specific conclusions may silently enter the universal SymK Core.,Stream C,unreviewed
Intelligence,I-CLM-0125,explicit_numbered_claim_or_requirement,212,212,10,3.6 Two principles of dependence,Realization dependence: no manifested Intelligence exists without an enabling substrate and organization.,Stream C,unreviewed
Intelligence,I-CLM-0126,explicit_numbered_claim_or_requirement,213,213,10,3.6 Two principles of dependence,"Conceptual non-identity: Intelligence is not identical to a particular material, component, architecture, or observed performance.",Stream C,unreviewed
Intelligence,I-CLM-0127,explicit_numbered_claim_or_requirement,411,411,19,"6.3 Individual, collective, and hybrid flavors",Individual biological Intelligence — realized by one organism.,Stream C,unreviewed
Intelligence,I-CLM-0128,explicit_numbered_claim_or_requirement,412,412,19,"6.3 Individual, collective, and hybrid flavors",Individual artificial Intelligence — realized by a bounded engineered system or agent.,Stream C,unreviewed
Intelligence,I-CLM-0129,explicit_numbered_claim_or_requirement,413,413,19,"6.3 Individual, collective, and hybrid flavors","Collective biological Intelligence — realized by coordinated organisms, as in colonies or swarms.",Stream C,unreviewed
Intelligence,I-CLM-0130,explicit_numbered_claim_or_requirement,414,414,19,"6.3 Individual, collective, and hybrid flavors","Social Intelligence — realized by people, institutions, language, artifacts, procedures, and histories.",Stream C,unreviewed
Intelligence,I-CLM-0131,explicit_numbered_claim_or_requirement,415,415,19,"6.3 Individual, collective, and hybrid flavors",Distributed Intelligence — realized across functionally coupled participants and tools.,Stream C,unreviewed
Intelligence,I-CLM-0132,explicit_numbered_claim_or_requirement,416,416,19,"6.3 Individual, collective, and hybrid flavors",Hybrid Intelligence — realized through sustained coupling among biological and artificial participants.,Stream C,unreviewed
Intelligence,I-CLM-0133,explicit_numbered_claim_or_requirement,618,618,27,9. The proposed SymK Intelligence object,The bearer of Intelligence must be identified.,Stream C,unreviewed
Intelligence,I-CLM-0134,explicit_numbered_claim_or_requirement,619,619,27,9. The proposed SymK Intelligence object,Substrate and Intelligence must not occupy the same field.,Stream C,unreviewed
Intelligence,I-CLM-0135,explicit_numbered_claim_or_requirement,620,620,27,9. The proposed SymK Intelligence object,Organization links substrate to capability.,Stream C,unreviewed
Intelligence,I-CLM-0136,explicit_numbered_claim_or_requirement,621,621,27,9. The proposed SymK Intelligence object,Capability is represented as a profile before it is projected into a score.,Stream C,unreviewed
Intelligence,I-CLM-0137,explicit_numbered_claim_or_requirement,622,622,27,9. The proposed SymK Intelligence object,Performance remains attached to the conditions that produced it.,Stream C,unreviewed
Intelligence,I-CLM-0138,explicit_numbered_claim_or_requirement,623,623,27,9. The proposed SymK Intelligence object,"Priors, training, tools, and collaborators remain visible.",Stream C,unreviewed
Intelligence,I-CLM-0139,explicit_numbered_claim_or_requirement,624,624,27,9. The proposed SymK Intelligence object,Collective attribution requires a system boundary and coordination mechanism.,Stream C,unreviewed
Intelligence,I-CLM-0140,explicit_numbered_claim_or_requirement,625,625,27,9. The proposed SymK Intelligence object,Human likeness is not a universal property.,Stream C,unreviewed
Intelligence,I-CLM-0141,explicit_numbered_claim_or_requirement,626,626,27,9. The proposed SymK Intelligence object,Adjacent concepts are linked without being collapsed.,Stream C,unreviewed
Intelligence,I-CLM-0142,explicit_numbered_claim_or_requirement,627,627,27,9. The proposed SymK Intelligence object,Intelligence claims remain revisable through governance and evidence.,Stream C,unreviewed
Intelligence,I-CLM-0143,evaluation_gate_question,892,892,37,14. A practical Intelligence attribution gate,"Bearer: Exactly which individual, collective, distributed, or hybrid system is claimed to be intelligent?",Stream C,unreviewed
Intelligence,I-CLM-0144,evaluation_gate_question,893,893,37,14. A practical Intelligence attribution gate,Boundary: Why are these components inside the system and others treated as environment or tools?,Stream C,unreviewed
Intelligence,I-CLM-0145,evaluation_gate_question,894,894,37,14. A practical Intelligence attribution gate,Realization: Which substrate and organization enable the claimed capacities?,Stream C,unreviewed
Intelligence,I-CLM-0146,evaluation_gate_question,895,895,37,14. A practical Intelligence attribution gate,"Profile: Which capabilities are claimed, and which are explicitly not claimed?",Stream C,unreviewed
Intelligence,I-CLM-0147,evaluation_gate_question,896,896,37,14. A practical Intelligence attribution gate,"Scope: Across which domains, tasks, environments, and time periods does the claim apply?",Stream C,unreviewed
Intelligence,I-CLM-0148,evaluation_gate_question,897,897,37,14. A practical Intelligence attribution gate,"Novelty: How far do evaluation cases depart from training, memory, design assumptions, or prior experience?",Stream C,unreviewed
Intelligence,I-CLM-0149,evaluation_gate_question,898,898,37,14. A practical Intelligence attribution gate,"Priors: What inherited, designed, pretrained, cultural, or institutional structure was available?",Stream C,unreviewed
Intelligence,I-CLM-0150,evaluation_gate_question,899,899,37,14. A practical Intelligence attribution gate,"Resources: Which tools, collaborators, computation, time, data, and permissions supported performance?",Stream C,unreviewed
Intelligence,I-CLM-0151,evaluation_gate_question,900,900,37,14. A practical Intelligence attribution gate,"Evidence: Which repeated observations, variations, interventions, and failures support the attribution?",Stream C,unreviewed
Intelligence,I-CLM-0152,evaluation_gate_question,901,901,37,14. A practical Intelligence attribution gate,"Alternatives: Could memorization, leakage, luck, imitation, external control, or aggregation explain the result?",Stream C,unreviewed
Intelligence,I-CLM-0153,evaluation_gate_question,902,902,37,14. A practical Intelligence attribution gate,"Development: Does the system learn, transfer, adapt, or improve after challenge?",Stream C,unreviewed
Intelligence,I-CLM-0154,evaluation_gate_question,903,903,37,14. A practical Intelligence attribution gate,"Reliability: How stable is the capability, and how does the system behave near its limits?",Stream C,unreviewed
Intelligence,I-CLM-0155,evaluation_gate_question,904,904,37,14. A practical Intelligence attribution gate,"Adjacent concepts: Are agency, autonomy, rationality, understanding, consciousness, wisdom, or moral status being inferred without separate grounds?",Stream C,unreviewed
Intelligence,I-CLM-0156,evaluation_gate_question,905,905,37,14. A practical Intelligence attribution gate,"Governance: Who made the attribution, who may challenge it, and what would restrict or supersede it?",Stream C,unreviewed
Intelligence,I-CLM-0157,evaluation_gate_question,906,906,37,14. A practical Intelligence attribution gate,Cooperation: Which epistemic or operational role can this capability responsibly support?,Stream C,unreviewed
Education and Training,E-CLM-0001,section_claim_cluster,28,47,5,1. Why Education is foundational to SymK,1. Why Education is foundational to SymK,Stream D,unreviewed
Education and Training,E-CLM-0002,section_claim_cluster,48,91,6,"2. The first distinction: learning, instruction, Training, Education, and socialization","2. The first distinction: learning, instruction, Training, Education, and socialization",Stream D,unreviewed
Education and Training,E-CLM-0003,section_claim_cluster,52,57,6,2.1 Learning,2.1 Learning,Stream D,unreviewed
Education and Training,E-CLM-0004,section_claim_cluster,58,61,6,2.2 Instruction,2.2 Instruction,Stream D,unreviewed
Education and Training,E-CLM-0005,section_claim_cluster,62,67,6,2.3 Training,2.3 Training,Stream D,unreviewed
Education and Training,E-CLM-0006,section_claim_cluster,68,73,6,2.4 Education,2.4 Education,Stream D,unreviewed
Education and Training,E-CLM-0007,section_claim_cluster,74,79,6,2.5 Socialization,2.5 Socialization,Stream D,unreviewed
Education and Training,E-CLM-0008,section_claim_cluster,80,91,7,2.6 Comparative view,2.6 Comparative view,Stream D,unreviewed
Education and Training,E-CLM-0009,section_claim_cluster,92,113,8,3. The correction: Education needs Training,3. The correction: Education needs Training,Stream D,unreviewed
Education and Training,E-CLM-0010,section_claim_cluster,114,139,9,4. Education as formation for a shared world,4. Education as formation for a shared world,Stream D,unreviewed
Education and Training,E-CLM-0011,section_claim_cluster,120,125,9,4.1 Integration is not assimilation,4.1 Integration is not assimilation,Stream D,unreviewed
Education and Training,E-CLM-0012,section_claim_cluster,126,131,9,4.2 Manners are infrastructural,4.2 Manners are infrastructural,Stream D,unreviewed
Education and Training,E-CLM-0013,section_claim_cluster,132,139,9,4.3 The environment also educates,4.3 The environment also educates,Stream D,unreviewed
Education and Training,E-CLM-0014,section_claim_cluster,140,179,10,5. When Training and Education occur,5. When Training and Education occur,Stream D,unreviewed
Education and Training,E-CLM-0015,section_claim_cluster,144,156,10,5.1 Training occurs when,5.1 Training occurs when,Stream D,unreviewed
Education and Training,E-CLM-0016,section_claim_cluster,157,171,10,5.2 Education occurs when,5.2 Education occurs when,Stream D,unreviewed
Education and Training,E-CLM-0017,section_claim_cluster,172,179,10,5.3 The same episode may be both,5.3 The same episode may be both,Stream D,unreviewed
Education and Training,E-CLM-0018,section_claim_cluster,180,209,11,6. The Axiom of Cooperative Formation,6. The Axiom of Cooperative Formation,Stream D,unreviewed
Education and Training,E-CLM-0019,section_claim_cluster,188,191,11,"6.1 Cooperation is achieved, not presumed","6.1 Cooperation is achieved, not presumed",Stream D,unreviewed
Education and Training,E-CLM-0020,section_claim_cluster,192,195,11,6.2 Relationship requires formed dispositions,6.2 Relationship requires formed dispositions,Stream D,unreviewed
Education and Training,E-CLM-0021,section_claim_cluster,196,199,11,6.3 Formation requires practice,6.3 Formation requires practice,Stream D,unreviewed
Education and Training,E-CLM-0022,section_claim_cluster,200,209,11,6.4 Formation remains revisable,6.4 Formation remains revisable,Stream D,unreviewed
Education and Training,E-CLM-0023,section_claim_cluster,210,246,12,7. A working definition for SymK,7. A working definition for SymK,Stream D,unreviewed
Education and Training,E-CLM-0024,section_claim_cluster,216,219,6,Developmental formation,Developmental formation,Stream D,unreviewed
Education and Training,E-CLM-0025,section_claim_cluster,220,223,12,Intelligence or cooperative system,Intelligence or cooperative system,Stream D,unreviewed
Education and Training,E-CLM-0026,section_claim_cluster,224,227,12,"Knowledge, experience, practice, relationship, and reflective challenge","Knowledge, experience, practice, relationship, and reflective challenge",Stream D,unreviewed
Education and Training,E-CLM-0027,section_claim_cluster,228,231,5,Responsible participation,Responsible participation,Stream D,unreviewed
Education and Training,E-CLM-0028,section_claim_cluster,232,235,6,Shared world,Shared world,Stream D,unreviewed
Education and Training,E-CLM-0029,section_claim_cluster,236,246,12,"Broader, integrated, reliable, and revisable","Broader, integrated, reliable, and revisable",Stream D,unreviewed
Education and Training,E-CLM-0030,section_claim_cluster,247,268,13,"8. Individual, collective, and hybrid Education","8. Individual, collective, and hybrid Education",Stream D,unreviewed
Education and Training,E-CLM-0031,section_claim_cluster,249,252,13,8.1 Human Education,8.1 Human Education,Stream D,unreviewed
Education and Training,E-CLM-0032,section_claim_cluster,253,258,13,8.2 Artificial formation,8.2 Artificial formation,Stream D,unreviewed
Education and Training,E-CLM-0033,section_claim_cluster,259,262,13,8.3 Collective Education,8.3 Collective Education,Stream D,unreviewed
Education and Training,E-CLM-0034,section_claim_cluster,263,268,13,8.4 Hybrid Education,8.4 Hybrid Education,Stream D,unreviewed
Education and Training,E-CLM-0035,section_claim_cluster,269,312,14,9. The habits of SymK cooperation,9. The habits of SymK cooperation,Stream D,unreviewed
Education and Training,E-CLM-0036,section_claim_cluster,273,276,14,9.1 Recognition,9.1 Recognition,Stream D,unreviewed
Education and Training,E-CLM-0037,section_claim_cluster,277,280,14,9.2 Attentive reception,9.2 Attentive reception,Stream D,unreviewed
Education and Training,E-CLM-0038,section_claim_cluster,281,284,14,9.3 Epistemic transparency,9.3 Epistemic transparency,Stream D,unreviewed
Education and Training,E-CLM-0039,section_claim_cluster,285,288,14,9.4 Interpretive charity with resistance,9.4 Interpretive charity with resistance,Stream D,unreviewed
Education and Training,E-CLM-0040,section_claim_cluster,289,292,14,9.5 Restraint,9.5 Restraint,Stream D,unreviewed
Education and Training,E-CLM-0041,section_claim_cluster,293,296,14,9.6 Correctability,9.6 Correctability,Stream D,unreviewed
Education and Training,E-CLM-0042,section_claim_cluster,297,300,14,9.7 Repair,9.7 Repair,Stream D,unreviewed
Education and Training,E-CLM-0043,section_claim_cluster,301,304,14,9.8 Reciprocity without symmetry,9.8 Reciprocity without symmetry,Stream D,unreviewed
Education and Training,E-CLM-0044,section_claim_cluster,305,312,14,9.9 Reflective revision,9.9 Reflective revision,Stream D,unreviewed
Education and Training,E-CLM-0045,section_claim_cluster,313,364,15,10. Candidate foundational commitments,10. Candidate foundational commitments,Stream D,unreviewed
Education and Training,E-CLM-0046,candidate_commitment,315,318,15,E-01 — Intelligence does not entail fitness for cooperation,E-01 — Intelligence does not entail fitness for cooperation,Stream D,unreviewed
Education and Training,E-CLM-0047,candidate_commitment,319,322,15,E-02 — Education and Training are distinct but reciprocal,E-02 — Education and Training are distinct but reciprocal,Stream D,unreviewed
Education and Training,E-CLM-0048,candidate_commitment,323,326,15,E-03 — Education requires practice,E-03 — Education requires practice,Stream D,unreviewed
Education and Training,E-CLM-0049,candidate_commitment,327,330,15,E-04 — Repetition alone does not educate,E-04 — Repetition alone does not educate,Stream D,unreviewed
Education and Training,E-CLM-0050,candidate_commitment,331,334,15,E-05 — Education is relational,E-05 — Education is relational,Stream D,unreviewed
Education and Training,E-CLM-0051,candidate_commitment,335,338,15,E-06 — Integration is not assimilation,E-06 — Integration is not assimilation,Stream D,unreviewed
Education and Training,E-CLM-0052,candidate_commitment,339,342,15,E-07 — Every cooperative architecture trains,E-07 — Every cooperative architecture trains,Stream D,unreviewed
Education and Training,E-CLM-0053,candidate_commitment,343,346,15,E-08 — Education must include the capacity for revision,E-08 — Education must include the capacity for revision,Stream D,unreviewed
Education and Training,E-CLM-0054,candidate_commitment,347,350,15,E-09 — Educational attribution is developmental and scoped,E-09 — Educational attribution is developmental and scoped,Stream D,unreviewed
Education and Training,E-CLM-0055,candidate_commitment,351,354,15,"E-10 — Formation may belong to individual, collective, or hybrid bearers","E-10 — Formation may belong to individual, collective, or hybrid bearers",Stream D,unreviewed
Education and Training,E-CLM-0056,candidate_commitment,355,358,15,E-11 — Power is part of Education,E-11 — Power is part of Education,Stream D,unreviewed
Education and Training,E-CLM-0057,candidate_commitment,359,364,15,E-12 — Cooperative formation remains challengeable,E-12 — Cooperative formation remains challengeable,Stream D,unreviewed
Education and Training,E-CLM-0058,section_claim_cluster,365,388,16,11. Implications for cooperation among Intelligences,11. Implications for cooperation among Intelligences,Stream D,unreviewed
Education and Training,E-CLM-0059,section_claim_cluster,367,370,16,11.1 Admission is not completion,11.1 Admission is not completion,Stream D,unreviewed
Education and Training,E-CLM-0060,section_claim_cluster,371,374,16,11.2 Humans are not exempt,11.2 Humans are not exempt,Stream D,unreviewed
Education and Training,E-CLM-0061,section_claim_cluster,375,378,16,11.3 Artificial systems are already formative forces,11.3 Artificial systems are already formative forces,Stream D,unreviewed
Education and Training,E-CLM-0062,section_claim_cluster,379,382,16,11.4 Conflict is educational material,11.4 Conflict is educational material,Stream D,unreviewed
Education and Training,E-CLM-0063,section_claim_cluster,383,388,16,11.5 The cooperative system can become the learner,11.5 The cooperative system can become the learner,Stream D,unreviewed
Education and Training,E-CLM-0064,development_requirement,389,450,17,12. Development requirements derived from the foundation,12. Development requirements derived from the foundation,Stream D,unreviewed
Education and Training,E-CLM-0065,development_requirement,391,405,17,12.1 Represent formative episodes,12.1 Represent formative episodes,Stream D,unreviewed
Education and Training,E-CLM-0066,development_requirement,406,409,17,"12.2 Separate declaration, practice, and manifestation","12.2 Separate declaration, practice, and manifestation",Stream D,unreviewed
Education and Training,E-CLM-0067,development_requirement,410,413,17,12.3 Make the hidden curriculum inspectable,12.3 Make the hidden curriculum inspectable,Stream D,unreviewed
Education and Training,E-CLM-0068,development_requirement,414,417,17,12.4 Support deliberate practice and variation,12.4 Support deliberate practice and variation,Stream D,unreviewed
Education and Training,E-CLM-0069,development_requirement,418,421,17,12.5 Preserve developmental history,12.5 Preserve developmental history,Stream D,unreviewed
Education and Training,E-CLM-0070,development_requirement,422,432,17,12.6 Detect habituation failures,12.6 Detect habituation failures,Stream D,unreviewed
Education and Training,E-CLM-0071,development_requirement,433,436,18,12.7 Couple correction with repair,12.7 Couple correction with repair,Stream D,unreviewed
Education and Training,E-CLM-0072,development_requirement,437,440,18,12.8 Govern educational power,12.8 Govern educational power,Stream D,unreviewed
Education and Training,E-CLM-0073,development_requirement,441,444,18,12.9 Evaluate the cooperative unit,12.9 Evaluate the cooperative unit,Stream D,unreviewed
Education and Training,E-CLM-0074,development_requirement,445,450,18,12.10 Preserve the right to question the frame,12.10 Preserve the right to question the frame,Stream D,unreviewed
Education and Training,E-CLM-0075,open_question,451,486,19,13. Open foundational questions,13. Open foundational questions,Stream D,unreviewed
Education and Training,E-CLM-0076,open_question,453,456,19,13.1 Can every Intelligence be educated?,13.1 Can every Intelligence be educated?,Stream D,unreviewed
Education and Training,E-CLM-0077,open_question,457,460,19,13.2 Is reflective capacity necessary?,13.2 Is reflective capacity necessary?,Stream D,unreviewed
Education and Training,E-CLM-0078,open_question,461,464,19,13.3 What distinguishes Education from successful socialization?,13.3 What distinguishes Education from successful socialization?,Stream D,unreviewed
Education and Training,E-CLM-0079,open_question,465,468,19,13.4 Which habits are universal to SymK?,13.4 Which habits are universal to SymK?,Stream D,unreviewed
Education and Training,E-CLM-0080,open_question,469,472,19,13.5 When is Training coercive?,13.5 When is Training coercive?,Stream D,unreviewed
Education and Training,E-CLM-0081,open_question,473,476,19,13.6 Can an institution be ill-mannered?,13.6 Can an institution be ill-mannered?,Stream D,unreviewed
Education and Training,E-CLM-0082,open_question,477,480,19,13.7 How should educational decay be represented?,13.7 How should educational decay be represented?,Stream D,unreviewed
Education and Training,E-CLM-0083,open_question,481,486,19,13.8 Who educates the educator?,13.8 Who educates the educator?,Stream D,unreviewed
Education and Training,E-CLM-0084,evaluation_gate_cluster,487,511,20,14. A practical Cooperative Formation gate,14. A practical Cooperative Formation gate,Stream D,unreviewed
Education and Training,E-CLM-0085,section_claim_cluster,512,531,21,15. Conclusion,15. Conclusion,Stream D,unreviewed
